"SampleID","DNAmAge","Comment","noMissingPerSample","meanMethBySample","minMethBySample","maxMethBySample","corSampleVSgoldstandard","meanAbsDifferenceSampleVSgoldstandard","predictedGender","meanXchromosome","predictedTissue","ProbabilityFrom.X.Vasc.Endoth.Umbilical.","ProbabilityFrom.Ape.WB","ProbabilityFrom.Blood.CD4.Tcells","ProbabilityFrom.Blood.CD4.CD14","ProbabilityFrom.Blood.Cell.Types","ProbabilityFrom.Blood.Cord","ProbabilityFrom.Blood.PBMC","ProbabilityFrom.Blood.WB","ProbabilityFrom.Bone","ProbabilityFrom.Brain.Cerebellar","ProbabilityFrom.Brain.CRBLM","ProbabilityFrom.Brain.FCTX","ProbabilityFrom.Brain.Occipital.Cortex","ProbabilityFrom.Brain.PONS","ProbabilityFrom.Brain.Prefr.CTX","ProbabilityFrom.Brain.TCTX","ProbabilityFrom.Breast","ProbabilityFrom.Breast.NL","ProbabilityFrom.Buccal","ProbabilityFrom.Cartilage.Knee","ProbabilityFrom.Colon","ProbabilityFrom.Dermal.fibroblast","ProbabilityFrom.Epidermis","ProbabilityFrom.Fat.Adip","ProbabilityFrom.Gastric","ProbabilityFrom.GlialCell","ProbabilityFrom.Head.Neck","ProbabilityFrom.Heart","ProbabilityFrom.Kidney","ProbabilityFrom.Liver","ProbabilityFrom.Liver.","ProbabilityFrom.Lung","ProbabilityFrom.MSC","ProbabilityFrom.Muscle","ProbabilityFrom.Neuron","ProbabilityFrom.Placenta","ProbabilityFrom.Prostate.NL","ProbabilityFrom.Saliva","ProbabilityFrom.Sperm","ProbabilityFrom.Stomach","ProbabilityFrom.Thyroid","ProbabilityFrom.Uterine.Cervix","ProbabilityFrom.Uterine.Endomet","AgeAccelerationDiff","AgeAccelerationResidual","uncchdid","Female","Age","Tissue","CD8T","CD4T","NK","Bcell","Mono","Gran","propNeuron","DNAmAgeHannum","BioAge4HAStatic","PlasmaBlast","CD8pCD28nCD45RAn","CD8.naive","CD4.naive","DNAmPhenoAge","DNAmAgeSkinBloodClock","DNAmADM","DNAmB2M","DNAmCystatinC","DNAmGDF15","DNAmLeptin","DNAmPACKYRS","DNAmPAI1","DNAmTIMP1","DNAmGrimAge","DNAmTL","propNeuronAdjAge","DNAmAgeHannumAdjAge","BioAge4HAStaticAdjAge","PlasmaBlastAdjAge","CD8pCD28nCD45RAnAdjAge","CD8.naiveAdjAge","CD4.naiveAdjAge","DNAmPhenoAgeAdjAge","DNAmAgeSkinBloodClockAdjAge","DNAmADMAdjAge","DNAmB2MAdjAge","DNAmCystatinCAdjAge","DNAmGDF15AdjAge","DNAmLeptinAdjAge","DNAmPACKYRSAdjAge","DNAmPAI1AdjAge","DNAmTIMP1AdjAge","DNAmGrimAgeAdjAge","DNAmTLAdjAge","IEAA","EEAA","IEAA.Hannum","AgeAccelerationResidualHannum","AgeAccelGrim","AgeAccelPheno"
"X20007",26.8523774854502,"",0,0.293228361509543,0.00750054924402586,0.991451537236131,0.969017013759296,0.0617430292551357,"female",0.488612699303957,"Blood PBMC",0,0.126,0.006,0.002,0.09,0.022,0.438,0.276,0.008,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0.002,0,0.01,0,0,0,0.002,0.004,0,0,0,0,0,0.002,0,0,0,0.002,0.006,5.00580214298445,0.899869368951364,20007,1,21.8465753424658,"Blood PBMC",0.142964118934489,0.180905797182805,0.0992039989934072,0.122286195705277,0.0530129804508744,0.439363040283467,0.442946353261556,25.9400598886474,19.0769514477481,1.53409891742264,11.4084720604741,321.069019562628,518.435730716743,16.4028506831403,22.6317877210024,304.879536888258,1200204.181693,500099.317621181,226.56273323266,9972.48782264577,1.71784529181088,12000.940404169,29086.508135399,30.3469476761968,7.69641256701113,0.000530592399129705,-5.69764004494665,-7.56750202876277,-0.334419839818525,0.584093614188628,48.1869734857579,97.6771204719107,-4.60152358895862,0.424432868810762,-0.43114501558965,-41374.3089829863,-19168.567114827,-14.0255300979687,1575.91937981212,-3.19392281264429,-2526.76261692487,-409.264942658398,-3.12280968674388,0.109113449312433,-0.00311326651177728,-7.56750202876277,-2.82876273117149,-5.69764004494665,-3.12280968674388,-4.60152358895862
"X20010",24.1138195524653," WARNING: Some beta values were missing, see noMissingPerSample.",1,0.293408855558939,0.00805663691557994,0.99237056225957,0.96932512823829,0.0622936833216019,"female",0.496598544522908,"Blood PBMC",0.002,0.12,0.002,0.006,0.068,0.02,0.406,0.35,0.004,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0.002,0,0,0.004,0,0,0,0,0.002,0,0,0,0,0,0.002,0,0.004,0.004,0,0.002,2.19053188123243,-1.91240721687112,20010,1,21.9232876712329,"Blood PBMC",0.102230670230254,0.148764889215166,0.119343341760337,0.0929381953376607,0.031298471968817,0.540171174098478,0.443289823656988,29.1253192119864,23.0942947271543,1.72673712525077,9.7633411190002,282.982392992308,459.004948555915,14.0383220415623,17.27041629701,307.415073489404,1166306.88128894,501645.405753325,256.171953210063,9510.91670274716,2.62302816066123,11780.5948682158,29434.6763942479,31.1612813099501,7.63836817419239,0.000862573863305814,-2.64583051042547,-3.70188501566061,-0.142090471148942,-1.06959418652044,10.3458394903666,39.5973876900907,-7.05256527104198,-5.04817413416007,2.23788745974528,-76568.5577289771,-17871.5980242358,13.877664790641,1171.10913447685,-2.20848878451793,-2760.39673587909,-74.2212602260314,-2.34789508388084,0.0526227196287178,-2.33727753821571,-3.70188501566061,-2.39969145662175,-2.64583051042547,-2.34789508388084,-7.05256527104198
"X20036",25.3922255436544," WARNING: Predicted tissue does not match the column Tissue",0,0.287467409056866,0.00707447089932507,0.992160690950591,0.969307291093333,0.0602668710274594,"female",0.498148343033078,"Blood WB",0,0.108,0.004,0.006,0.038,0.01,0.286,0.508,0,0,0,0,0,0,0,0,0.002,0,0.002,0,0.002,0,0,0,0,0.002,0.008,0,0,0,0,0.002,0.004,0,0,0,0.002,0.008,0,0.002,0.002,0.002,0.002,3.81140362584616,-0.304900096942485,20036,1,21.5808219178082,"Blood PBMC",0.0731549895002718,0.121037102368508,0.00939116435171336,0.0451902644884522,0.0905758361507035,0.663730455520519,0.439376008099729,28.7676183461115,23.1261214570432,1.98801819712728,9.29832268187134,288.347608525958,497.776053523011,27.8049451191463,17.889258878698,365.125867240333,1379901.51817425,556647.698535503,224.829768883353,12934.3886849973,5.40306442486193,15334.2211589947,30782.3657519279,40.0661065909989,7.59798127020302,-0.00299995182228812,-2.40777339050644,-2.99270888262878,0.120569346971068,-1.49641235920673,14.6151060287868,72.3370222151612,7.10027673736947,-3.93274414631821,59.3527174866106,142816.027111364,38242.8333362894,-9.8483361039494,4341.18435528281,0.213283375771377,852.553586154237,1332.05995645528,6.7329080136417,0.00529981950062465,2.1383144825575,-2.99270888262878,-0.477726554894743,-2.40777339050644,6.7329080136417,7.10027673736947
"X20037",24.2537384192039," WARNING: Some beta values were missing, see noMissingPerSample.",3,0.291630993142273,0.00869211372895329,0.991553616288226,0.971303109726243,0.0594132281356916,"female",0.500826000961212,"Blood PBMC",0,0.128,0.002,0.008,0.066,0.008,0.43,0.32,0.006,0,0,0.002,0,0,0,0,0.006,0,0.002,0,0,0.002,0,0,0,0,0.004,0,0.002,0,0,0.002,0,0.002,0,0,0,0.002,0,0,0.004,0,0.004,1.99620417262859,-2.09369105178233,20037,1,22.2575342465753,"Blood PBMC",0.0902561458841513,0.176367218720695,0.0871021607879806,0.111960547521074,0.0724402613826168,0.487743978344925,0.443791866559992,27.5029109282021,20.3432382408286,1.76205629082873,6.87743935296765,296.104741579852,464.708242273993,22.7783890086825,22.3871406620248,305.205452565521,1113228.90310007,484386.489799776,58.9299065258644,10978.4768679302,0.0861525788003825,13032.504633482,28966.4019187276,28.7960341610076,7.57108693493024,0.00131455785156541,-4.84969858834464,-7.11403451945383,-0.108116961904623,-3.99277941064893,24.5378342972546,51.1873965595861,1.31055201959058,-0.416119077551524,0.609927130548805,-135297.525121956,-36215.9612302513,-190.797776923305,2885.98453882939,-4.39569860096125,-1566.38722511709,-599.681390131649,-4.88489658170172,-0.0078889874020362,-1.17491217964338,-7.11403451945383,-2.43544969123367,-4.84969858834464,-4.88489658170172,1.31055201959058
"X20040",25.9288652559697," WARNING: Predicted tissue does not match the column Tissue",0,0.285073609301421,0.00773315164336379,0.991005249957213,0.971791560814417,0.0569161665622074,"female",0.480811347292365,"Blood WB",0,0.098,0.004,0.002,0.04,0.01,0.268,0.552,0.002,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0,0,0.002,0,0,0.004,0,0,0,0,0.002,0,0,0,0,0.004,0.004,0,0.002,0,0,0,4.38913922857246,0.271231750821605,20040,1,21.5397260273973,"Blood PBMC",0.0876736834253205,0.106926172075542,0.0619491408859295,0.0763648291646034,0.0907588900185267,0.588877050130991,0.443931396950393,32.2519406255577,28.169222517926,1.99563526197813,11.0503580204872,242.171472460332,370.160392707404,23.6710239652304,24.047709805159,318.522500476371,1276923.33781069,518763.126024916,237.884637755719,10200.2519307927,10.938290623139,16399.0770119174,29957.9502250669,36.3378619948779,7.552758244366,0.00156159181297522,1.14803984723495,2.13167410663116,0.128351861371136,0.260207011142213,-31.6925439162668,-56.0024150534895,3.01270185515283,2.28529726888131,12.6778350757608,40532.6405024049,491.717455104586,4.12047478027039,1576.63998970488,5.70551788157911,1924.52832282745,514.675452674484,3.02578075549763,-0.0407555258730411,0.754005453368708,2.13167410663116,0.771818177540116,1.14803984723495,3.02578075549763,3.01270185515283
"X20042",26.6048742789657," WARNING: Some beta values were missing, see noMissingPerSample. WARNING: Predicted tissue does not match the column Tissue",2,0.281365183299377,0.00835580405152692,0.990881641949066,0.969015335154423,0.0586389496169753,"female",0.476136799985419,"Blood WB",0,0.122,0,0.008,0.058,0.012,0.264,0.508,0,0,0,0,0,0,0,0.002,0,0,0,0,0.002,0,0,0,0,0,0.008,0,0,0.002,0,0.004,0,0,0,0,0.002,0.004,0,0,0.002,0,0.002,4.78843592280128,0.681327061795974,20042,1,21.8164383561644,"Blood PBMC",0.0661516108893213,0.0909778385547575,0.110205035347631,0.0341306500218581,0.0428943424487984,0.656645674380539,0.439709224704935,33.2667827441723,28.4364886093994,1.82344103291369,9.0899538356665,230.080464990531,392.529498159866,26.0966534548671,21.3226852099097,308.405663364609,1169389.83565804,524024.17316637,154.614022911682,7349.28976174112,3.579910890039,13337.0415075045,28934.971871674,31.676721296835,7.61379983076981,-0.00270202264878803,1.68150951332815,1.85164188036504,-0.0449563946580497,-1.73106298734806,-42.8980245979222,-28.7598814838705,5.12626644868091,-0.840969950540349,3.04253665304223,-71679.1395979086,4854.15662525391,-85.3040162769181,-1069.57759609976,-1.36338445556052,-1185.44099883902,-555.645122791518,-1.7775500182561,0.0258903454108566,0.750675087189868,1.85164188036504,-0.462997119191405,1.68150951332815,-1.7775500182561,5.12626644868091
"X20043",22.1303534904723," WARNING: Predicted tissue does not match the column Tissue",0,0.281791991753948,0.00760290237686005,0.991645003849091,0.971553219524759,0.05563269083092,"female",0.476766697294463,"Blood WB",0,0.134,0.002,0.006,0.04,0.01,0.362,0.424,0.002,0,0,0,0,0,0,0,0.002,0,0,0.002,0,0,0,0.002,0,0.002,0.002,0,0,0.002,0,0.002,0,0,0,0,0,0.002,0,0,0,0.002,0.002,-0.0203314410345143,-4.11439642834718,20043,1,22.1506849315068,"Blood PBMC",0.087305197038377,0.0725524572115306,0.0111440939896693,0.0255197453247218,0.0808671103041694,0.727661226506006,0.441576582351205,25.5503901358672,20.1174404100995,1.93062172324912,9.78256655799877,258.088812292581,448.352960238878,18.9373456920796,21.174914555271,312.99824519414,1260197.53057839,527185.897319002,225.786737687438,11181.3995556083,9.43592321892467,12786.5504509083,29395.7097355875,34.3910697797726,7.6127241921943,-0.000884723917262481,-6.61634288911182,-7.12849933640229,0.0608786393437372,-1.07573372311173,-13.820031076528,32.9502957465591,-2.40999099059415,-1.47340991358529,8.21677907726016,13477.5661183335,6930.43352541926,-21.5646965309108,3009.84743693693,4.84229363874268,-1793.83230993948,-152.092913263349,0.765044115803089,0.0315842390667498,-2.29007329210543,-7.12849933640229,-5.96492030927543,-6.61634288911182,0.765044115803089,-2.40999099059415
"X20047",28.7698662744248,"",0,0.287783019700182,0.0069609693913418,0.991342485558612,0.969505310555651,0.0593017713393531,"female",0.479375886198994,"Blood PBMC",0,0.152,0.004,0.008,0.058,0.022,0.398,0.316,0.006,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0.002,0,0,0.014,0,0,0,0,0.006,0,0,0,0.002,0,0,0,0.002,0.002,0,0.002,7.27671558949327,3.15699052278524,20047,1,21.4931506849315,"Blood PBMC",0.201143271000374,0.116477455751969,0.0498792656265976,0.0744950201294323,0.0598207182967647,0.514144349479119,0.445855260121369,27.0662095177241,19.7174877103093,1.55551181846309,9.21941390677954,318.947378798063,502.79504158217,14.8798815575172,23.5710799046111,295.833495583375,1218689.9449673,506718.9162407,182.68348104686,11484.6782488126,4.50334032445876,13046.3039173387,28620.8544658051,30.0779848648368,7.65750634400998,0.0034924304064977,-3.95666817453062,-6.22794118215809,-0.311584072654788,-1.56554186660124,44.9343133581132,75.8119538411616,-5.72591477796781,1.87620325557032,-10.0922208837077,-16913.3194191028,-11401.2414824566,-50.0448809818203,2826.60434816842,-0.778156335233115,-1420.17670350067,-814.451813763153,-3.21016339150305,0.0630492782960749,2.56021452280889,-6.22794118215809,-0.465362583099264,-3.95666817453062,-3.21016339150305,-5.72591477796781
"X20068",24.969219667643," WARNING: Some beta values were missing, see noMissingPerSample. WARNING: Predicted tissue does not match the column Tissue",1,0.293745714194967,0.00767583484877037,0.991951945444193,0.97137133554639,0.0602446732408752,"female",0.497269925361886,"Blood WB",0.002,0.17,0.004,0.006,0.044,0.016,0.334,0.402,0.004,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.004,0,0,0,0,0.004,0,0,0.002,0,0.002,0,0,0.002,0.002,0,0,3.4240141881909,-0.693679455564996,20068,1,21.5452054794521,"Blood PBMC",0.0665782302602008,0.110186383669267,0.115629455403606,0.076388254925834,0.0803682952652345,0.595280548142853,0.441507607510652,35.7888892141398,32.5648601215237,2.11279235339875,13.2117138535261,266.666062131582,377.004803911827,15.3446065462827,24.2100043322116,308.482711931855,1289333.12832683,540620.28513424,316.893639443711,11968.160464987,1.45938408401128,16172.9059318406,30482.2233118669,34.6643514443039,7.61349306738359,-0.000863018264712667,4.67545630804437,6.51647411977857,0.245486892851854,2.42095163995001,-7.18041906109374,-49.0615003219934,-5.31989506668816,2.43964639743539,2.64758195082926,52849.7918512588,22331.0823471749,83.007617533349,3348.60287208236,-3.76765643188607,1697.40805825057,1038.0110697304,1.34945455986002,0.0200902730827721,-0.730745229911852,6.51647411977857,3.13302997324281,4.67545630804437,1.34945455986002,-5.31989506668816
"X20070",24.2465724606379,"",0,0.288366355797176,0.00744797044008492,0.992542665833267,0.970463547804347,0.0588903025940232,"female",0.481488950903062,"Blood PBMC",0,0.098,0,0.006,0.068,0.01,0.44,0.35,0.004,0,0.002,0,0,0,0,0.002,0.002,0,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0.006,0.002,0,0,2.06849026885704,-2.02450554848082,20070,1,22.1780821917808,"Blood PBMC",0.12583260274148,0.159084120051074,0.114669785715556,0.107999224144799,0.0200727091366673,0.502669364040429,0.446034607936082,34.1185615177367,26.7466831825946,1.68309559630358,8.56791913217963,365.654875501851,585.666727315337,16.4413511356376,20.8590210101132,308.431473679262,1226221.55686837,508835.676555595,215.428310634226,9997.13273788943,8.38174440024291,15618.8128074179,29369.8434719971,33.7808356963858,7.69957337753793,0.00356919847788108,1.90416785389413,-0.553444516158664,-0.186757787301288,-2.29343717008629,93.8337080523602,170.74658045838,-4.93688306150229,-1.82903045123539,3.6976846603065,-20961.6034280939,-11508.7583242555,-32.5324182586922,1845.85236013359,3.81677594837383,1033.68412406975,-182.646525573876,0.140731807098339,0.118988304101468,-2.45883614934266,-0.553444516158664,5.2273159886877,1.90416785389413,0.140731807098339,-4.93688306150229
